numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,
07005,20201101000000,101560,0,0,170,2.100000,283.950000,281.350000,84,17360,0,,,,,,,,,100690,,,-730,,,,,282.050000,,,3.700000,3.700000,-10,,0.000000,,,0.000000,0.000000,0.000000,1.400000,1.400000,,,,,,,,,,,,,,,,,
07015,20201101000000,101590,60,3,210,3.900000,284.550000,281.450000,81,30920,0,,,90,7,3780,,,,101020,,,-730,,,,,281.050000,,,6.100000,7.900000,-10,,0.000000,,,0.000000,0.000000,0.200000,1.000000,1.000000,,,,,3,,3780,7,,4440,,,,,,,
07020,20201101000000,101260,-110,7,210,11.300000,285.550000,279.550000,67,8000,60,6,6,100,8,1250,36,,,101150,,,-660,,,,,,,,17.300000,17.500000,-10,,,,,-0.100000,-0.100000,-0.100000,1.000000,7.300000,,,,,8,7,1000,,,,,,,,,,
07027,20201101000000,101540,-120,6,190,3.500000,284.250000,282.550000,89,22270,61,,,100,8,3480,,,,100730,,,-700,,,,,283.150000,,,5.500000,6.500000,-10,2,0.000000,,,-0.100000,-0.100000,-0.100000,2.200000,,,,,,8,,3480,,,,,,,,,,
07037,20201101000000,101640,-10,7,190,2.900000,283.550000,282.650000,94,17170,0,,,100,8,450,,,,99810,,,-710,,,,,283.450000,,,3.600000,3.800000,-10,,0.000000,,,0.000000,0.000000,0.000000,2.400000,2.400000,,,,,7,,570,8,,720,,,,,,,
07072,20201101000000,101690,20,3,240,3.700000,289.150000,285.550000,79,20000,0,,,100,1,1250,,,,100560,,,-770,,,,,286.750000,,,6.200000,7.800000,-10,0,,,,0.000000,0.000000,-0.100000,-0.100000,-0.100000,,,,,1,,1230,3,,4380,7,,4920,,,,
07110,20201101000000,101180,-310,8,180,8.800000,285.150000,284.050000,93,11780,0,,,100,6,250,,,,100010,,,-610,,,,,282.150000,,,12.800000,12.800000,-10,1,0.000000,,,0.000000,0.400000,0.600000,0.600000,17.600000,,,,,5,,270,6,,420,6,,1560,,,,
07117,20201101000000,101190,-310,8,190,5.100000,284.750000,282.650000,87,,,,,,,,,,,100490,,,-640,,,,,,,,9.700000,10.300000,-10,,,,,0.000000,0.200000,0.200000,0.200000,9.300000,,,,,,,,,,,,,,,,,
07130,20201101000000,101650,-40,8,170,3.500000,285.350000,284.550000,95,8450,61,,,100,1,1250,,,,101200,,,-560,,,,,284.950000,,,4.800000,5.100000,-10,2,0.000000,,,0.400000,0.400000,0.400000,2.800000,3.600000,,,,,1,,1080,5,,2220,8,,3000,,,,
07139,20201101000000,101720,-20,8,190,3.700000,284.550000,283.750000,95,19250,0,,,100,1,800,,,,99980,,,-600,,,,,285.350000,,,5.400000,5.600000,-10,1,,,,0.000000,0.000000,0.000000,1.800000,1.800000,,,,,1,,870,7,,4440,8,,5160,,,,
07149,20201101000000,101770,70,1,240,3.800000,287.450000,284.050000,80,20000,1,2,2,90,5,800,35,23,,100690,,,-640,,,,,,,,6.500000,7.500000,-10,1,0.000000,0.000000,-60,0.000000,-0.100000,-0.100000,-0.100000,-0.100000,,,,,5,6,700,6,3,4500,,,,,,,
07168,20201101000000,101820,-20,7,210,7.000000,290.050000,285.150000,73,20000,0,,,100,5,800,,,,100420,,,-690,,,,,286.450000,,,10.300000,12.100000,-10,0,0.000000,,,0.000000,0.000000,0.000000,-0.100000,0.200000,,,,,1,,660,5,,1230,7,,1620,,,,
07181,20201101000000,101920,20,0,200,3.900000,287.050000,281.650000,70,58950,0,,,100,8,800,,,,97880,,,-640,,,,,281.850000,,,6.100000,8.400000,-10,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,8,,810,,,,,,,,,,
07190,20201101000000,102010,-20,8,180,3.800000,283.950000,282.050000,88,26350,0,,,90,7,1750,,,,100190,,,-670,,,,,279.250000,,,6.300000,6.300000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,2,,1800,4,,2460,7,,4200,,,,
07207,20201101000000,101590,-140,8,200,8.400000,288.050000,286.950000,93,,,,,,,,,,,101080,,,-530,,,,,,,,12.000000,12.000000,-10,,,,,0.000000,0.000000,0.000000,0.000000,0.800000,,,,,,,,,,,,,,,,,
07222,20201101000000,101770,0,4,210,2.700000,287.350000,287.050000,98,1780,53,,,100,8,80,,,,101460,,,-490,,,,,286.150000,,,4.200000,7.000000,-10,2,0.000000,,,0.600000,0.600000,0.600000,2.200000,2.200000,,,,,8,,90,,,,,,,,,,
07240,20201101000000,101810,-10,8,210,5.000000,288.650000,288.150000,97,6920,51,,,100,8,150,,,,100480,,,-540,,,,,287.350000,,,8.200000,9.200000,-10,2,0.000000,,,0.200000,0.800000,0.800000,0.800000,0.800000,,,,,8,,150,,,,,,,,,,
07255,20201101000000,102010,10,3,230,5.400000,289.450000,285.950000,80,19240,0,,,,,,,,,100050,,,-400,,,,,285.850000,,,10.700000,10.700000,-10,,0.000000,,,-0.100000,-0.100000,-0.100000,-0.100000,0.200000,,,,,,,,,,,,,,,,,
07280,20201101000000,102220,10,0,0,0.000000,279.850000,279.850000,100,370,44,,,100,8,1750,,,,99450,,,-420,,,,,283.650000,,,0.900000,1.700000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,7,,1680,8,,3180,,,,,,,
07299,20201101000000,102300,40,3,190,2.300000,280.850000,280.450000,97,3420,10,,,,4,80,,,,98980,,,-450,,,,,279.850000,,,4.200000,5.800000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.200000,,,,,4,,90,,,,,,,,,,
07314,20201101000000,101950,-20,8,220,11.100000,291.050000,287.950000,82,,,2,,,,,,,,101680,,,-330,,,,,,,,15.200000,15.200000,-10,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07335,20201101000000,101990,20,0,200,5.100000,288.450000,287.150000,92,8250,60,,,100,5,800,,,,100560,,,-350,,,,,287.250000,,,7.900000,8.500000,-10,2,0.000000,,,0.200000,0.400000,0.400000,0.400000,0.400000,,,,,4,,810,5,,1350,7,,1680,,,,
07434,20201101000000,102200,-30,6,140,1.300000,287.850000,283.650000,76,36960,0,,,100,8,1250,,,,97470,,,-150,,,,,285.150000,,,2.500000,5.200000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.400000,,,,,8,,1080,,,,,,,,,,
07460,20201101000000,102300,60,1,80,1.100000,285.450000,279.050000,65,46010,0,,,,0,,,,,98420,,,-180,,,,,282.250000,,,2.800000,6.100000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07471,20201101000000,,-70,6,250,0.900000,279.050000,275.850000,80,20000,0,,,,0,,,,,92760,,856,-190,,,,,278.350000,,,1.700000,2.600000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07481,20201101000000,102380,30,3,150,1.200000,283.650000,281.550000,87,20000,2,1,1,75,0,8000,30,20,11,99480,,,-230,,,,,,,,2.400000,3.700000,-10,0,0.000000,0.000000,-60,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,6,0,8000,,,,,,,,,,
07510,20201101000000,102150,-30,8,140,1.900000,286.450000,285.050000,91,28210,0,,,,0,,,,,101570,,,-200,,,,,285.350000,,,2.800000,3.300000,-10,,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07535,20201101000000,102350,-10,0,120,2.600000,284.450000,283.150000,92,20000,0,,,90,7,4260,,,,99220,,,-90,,,,,284.250000,,,3.000000,3.300000,-10,1,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,7,,4260,,,,,,,,,,
07558,20201101000000,102390,-80,6,10,2.300000,283.450000,281.050000,85,20000,0,,,,,,,,,94060,,,-140,,,,,280.850000,,,3.300000,3.300000,-10,,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07577,20201101000000,102390,10,0,0,0.000000,285.250000,284.450000,95,8290,0,,,,,,,,,101490,,,-170,,,,,284.450000,,,0.000000,0.900000,-10,0,0.000000,,,0.000000,0.000000,0.200000,0.200000,0.200000,,,,,,,,,,,,,,,,,
07591,20201101000000,,-20,5,40,2.200000,280.650000,275.950000,72,20000,0,,,,,,,,,92380,,863,-90,,,,,279.650000,,,3.600000,3.600000,-10,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07607,20201101000000,102220,-30,7,90,1.100000,283.950000,283.350000,96,20860,0,,,,0,,,,,101500,,,-170,,,,,285.550000,,,1.500000,2.700000,-10,,0.000000,,,0.000000,0.000000,0.000000,0.000000,-0.100000,,,,,,,,,,,,,,,,,
07621,20201101000000,102350,-10,5,170,3.700000,284.850000,278.750000,66,48170,0,,,,0,,,,,98010,,,-50,,,,,282.350000,,,4.700000,4.700000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07627,20201101000000,102510,-80,6,240,0.800000,280.050000,278.650000,91,20000,0,,,,0,,,,,97490,,,-40,,,,,280.950000,,,1.600000,1.900000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07630,20201101000000,102360,-10,8,150,1.900000,283.350000,282.550000,95,3750,10,,,,0,,,,,100540,,,-80,,,,,281.750000,,,2.500000,2.500000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,
07643,20201101000000,102400,-20,7,20,1.500000,281.350000,280.750000,96,2620,10,,,,0,,,,,102300,,,-110,,,,,277.850000,,,2.600000,3.600000,-10,,,,,0.000000,0.000000,0.000000,0.000000,0.200000,,,,,,,,,,,,,,,,,
07650,20201101000000,102370,-20,8,0,0.000000,288.350000,285.250000,82,9440,0,,,100,8,450,,,,101990,,,-120,,,,,284.250000,,,0.800000,2.000000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,8,,510,,,,,,,,,,
07661,20201101000000,,,,330,4.300000,,,,20000,1,0,,25,0,6000,30,20,12,,,,,,,,,,,,5.900000,5.900000,-10,,,,,,,,,,,,,,2,0,6000,,,,,,,,,,
07690,20201101000000,102320,-50,6,320,1.400000,289.050000,285.950000,82,20000,1,2,2,100,8,800,35,,,102010,,,-210,,,,,288.250000,,,2.100000,3.200000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,2,6,800,7,6,1000,,,,,,,
